sku,name,link,price
067932,Плита цементно-стружечная Тамак 2700х1250х12 мм,https://glavsnab.net/csp-cementno-struzhechnaja-plita-2700-1250-12mm.html,2805.0000
125053,Шплинт Knauf Нониус 70x28x2 мм,https://glavsnab.net/shplint-knauf-nonius-70x28x2-mm.html,11.0000
172874,Изолента ПВХ Navigator NIT-B15-20/YG желто-зеленая 15 мм 20 м,https://glavsnab.net/izolenta-pvh-navigator-nit-b15-20-yg-zhelto-zelenaya-15-mm-20-m-99668.html,74.0000
066954,Фанера ФК 1525х1525х21 мм сорт 4/4 нешлифованная,https://glavsnab.net/fanera-fk-1525h1525h21-mm-sort-4-4-neshlifovannaya.html,2315.0000
830893,"Профиль направляющий SoundGuard Strong ПН-4 190601 75х40х0,65 мм",https://glavsnab.net/profil-napravlyayuschiy-soundguard-strong-pn-4-190601-75h40h0-65-mm.html,490.0000
239687,"Шуруп самонарезающий прокалывающий Knauf XTN 3,9x38 мм 1000 шт",https://glavsnab.net/shurup-samonarezayuschiy-prokalivayuschiy-knauf-xtn-3-9x38-mm-1000-sht.html,1991.0000
066952,Фанера ФК 1525х1525х18 мм сорт 4/4 нешлифованная,https://glavsnab.net/fanera-fk-1525h1525h18-mm-sort-4-4-neshlifovannaya.html,1985.0000
228642,Изолента вулканизирующая TDM SQ0526-0601 5000х15 мм,https://glavsnab.net/izolenta-vulkaniziruyuschaya-tdm-sq0526-0601-5000h15-mm.html,251.0000
318477,Доска АЦЭИД Фибратек 3000х1200х25 мм,https://glavsnab.net/doska-aceid-fibratek-3000h1200h25-mm.html,14275.0000
307508,Фанера ФК 1525х1525х10 мм сорт 3/4 шлифованная Ш1,https://glavsnab.net/fanera-fk-1525h1525h10-mm-sort-3-4-shlifovannaya-sh1.html,1246.0000
207941,Лента армирующая Knauf бумажная 150 м,https://glavsnab.net/lenta-armiruyuschaya-knauf-bumazhnaya-150-m.html,440.0000
172875,Изолента ПВХ Navigator  NIT-A19-20/BL черная 19 мм 20 м,https://glavsnab.net/izolenta-pvh-navigator-nit-a19-20-bl-chernaya-19-mm-20-m-99676.html,112.0000
252336,Изолента ПВХ Uniel UIT-135P 19 мм желто-зеленая 20 м,https://glavsnab.net/izolenta-pvh-uniel-uit-135p-19-mm-zhelto-zelenaya-20-m.html,96.0000
834931,Стекломагниевый лист Magelan Премиум 01 2440х1220х6 мм шлифованный бежевый,https://glavsnab.net/steklomagnieviy-list-magelan-premium-01-2440h1220h6-mm-shlifovanniy-bezheviy.html,1510.0000
826389,Тяга подвеса Металлист 1000 мм,https://glavsnab.net/tyaga-podvesa-metallist-1000-mm.html,35.0000
510712,Лента полимерная микропористая Knauf под ПГП 80 мм 20 м,https://glavsnab.net/lenta-polimernaya-mikroporistaya-knauf-pod-pgp-80-mm-20-m.html,1750.0000
125054,Подвес Knauf Нониус нижняя часть 130х62х15 мм,https://glavsnab.net/podves-knauf-nonius-nizhnyaya-chast.html,40.0000
401091,"Плита древесноволокнистая укрывная ДВП оргалит 2440х1220х3,2 мм гладкая/гладкая",https://glavsnab.net/plita-drevesnovoloknistaya-ukrivnaya-dvp-orgalit-2440h1220h3-2-mm-gladkaya-gladkaya.html,254.0000
299463,Клеящая лента Момент Хозлента универсальная серебряная 10 м,https://glavsnab.net/kleyaschaya-lenta-moment-hozlenta-universalnaya-serebryanaya-10-m.html,194.0000
510712,Лента полимерная микропористая Knauf под ПГП 80 мм 20 м,https://glavsnab.net/lenta-polimernaya-mikroporistaya-knauf-pod-pgp-80-mm-20-m.html,1750.0000
826389,Тяга подвеса Металлист 1000 мм,https://glavsnab.net/tyaga-podvesa-metallist-1000-mm.html,35.0000
067935,Плита цементно-стружечная Тамак 2700х1250х20 мм,https://glavsnab.net/csp-cementno-struzhechnaja-plita-2700-1250-20mm.html,3995.0000
400923,Профиль угловой оцинкованный 20х20х3000 мм,https://glavsnab.net/profil-uglovoy-ocinkovanniy-pu-20h20h3000-mm.html,119.0000
125054,Подвес Knauf Нониус нижняя часть 130х62х15 мм,https://glavsnab.net/podves-knauf-nonius-nizhnyaya-chast.html,40.0000
401091,"Плита древесноволокнистая укрывная ДВП оргалит 2440х1220х3,2 мм гладкая/гладкая",https://glavsnab.net/plita-drevesnovoloknistaya-ukrivnaya-dvp-orgalit-2440h1220h3-2-mm-gladkaya-gladkaya.html,254.0000
299463,Клеящая лента Момент Хозлента универсальная серебряная 10 м,https://glavsnab.net/kleyaschaya-lenta-moment-hozlenta-universalnaya-serebryanaya-10-m.html,194.0000
